change_type,diff_path,depth
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
type_changes,root['children'][4]['children'][2]['children'][27],6
type_changes,root['children'][4]['children'][2]['children'][5],6
type_changes,root['children'][4]['children'][2]['children'][7],6
dictionary_item_added,root['children'][4]['children'][2]['children'][12]['attrs']['defer'],8
dictionary_item_added,root['children'][4]['children'][2]['children'][20]['attrs']['async'],8
dictionary_item_removed,root['children'][4]['children'][1]['text'],5
dictionary_item_removed,root['children'][4]['children'][2]['children'][22]['text'],7
dictionary_item_removed,root['children'][4]['children'][2]['children'][21]['text'],7
values_changed,root['children'][4]['children'][2]['children'][3]['attrs']['data-view'],8
values_changed,root['children'][4]['children'][2]['children'][3]['attrs']['data-viewdtls'],8
values_changed,root['children'][4]['children'][2]['children'][22]['tag'],7
values_changed,root['children'][4]['children'][2]['children'][22]['attrs'],7
values_changed,root['children'][4]['children'][2]['children'][21]['attrs'],7
values_changed,root['children'][4]['children'][2]['text'],5
values_changed,root['children'][4]['text'],3
values_changed,root['text'],1
values_changed,root['children'][4]['children'][1]['children'][2],6
values_changed,root['children'][4]['children'][1]['children'][0],6
values_changed,root['children'][4]['children'][1]['children'][1],6
values_changed,root['children'][4]['children'][1]['children'][3],6
values_changed,root['children'][4]['children'][2]['children'][22]['children'][0],8
iterable_item_added,root['children'][4]['children'][2]['children'][5],6
iterable_item_added,root['children'][4]['children'][2]['children'][7],6
iterable_item_added,root['children'][4]['children'][2]['children'][8],6
iterable_item_added,root['children'][4]['children'][2]['children'][9],6
iterable_item_added,root['children'][4]['children'][2]['children'][10],6
iterable_item_added,root['children'][4]['children'][2]['children'][12],6
iterable_item_added,root['children'][4]['children'][2]['children'][13],6
iterable_item_added,root['children'][4]['children'][2]['children'][14],6
iterable_item_added,root['children'][4]['children'][2]['children'][15],6
iterable_item_added,root['children'][4]['children'][2]['children'][19],6
iterable_item_added,root['children'][4]['children'][2]['children'][20],6
iterable_item_added,root['children'][4]['children'][2]['children'][24],6
iterable_item_added,root['children'][4]['children'][2]['children'][25],6
iterable_item_added,root['children'][4]['children'][2]['children'][26],6
iterable_item_added,root['children'][4]['children'][2]['children'][27],6
iterable_item_added,root['children'][4]['children'][2]['children'][28],6
iterable_item_added,root['children'][4]['children'][2]['children'][30],6
iterable_item_added,root['children'][4]['children'][2]['children'][31],6
iterable_item_added,root['children'][4]['children'][2]['children'][51],6
iterable_item_added,root['children'][4]['children'][2]['children'][52],6
iterable_item_added,root['children'][4]['children'][2]['children'][53],6
iterable_item_added,root['children'][4]['children'][2]['children'][22]['children'][1],8
iterable_item_added,root['children'][4]['children'][2]['children'][22]['children'][4],8
iterable_item_added,root['children'][4]['children'][2]['children'][22]['children'][5],8
iterable_item_removed,root['children'][4]['children'][1]['children'][4],6
iterable_item_removed,root['children'][4]['children'][1]['children'][5],6
iterable_item_removed,root['children'][4]['children'][1]['children'][6],6
iterable_item_removed,root['children'][4]['children'][1]['children'][7],6
iterable_item_removed,root['children'][4]['children'][1]['children'][9],6
iterable_item_removed,root['children'][4]['children'][1]['children'][10],6
iterable_item_removed,root['children'][4]['children'][1]['children'][11],6
iterable_item_removed,root['children'][4]['children'][1]['children'][12],6
iterable_item_removed,root['children'][4]['children'][1]['children'][13],6
iterable_item_removed,root['children'][4]['children'][1]['children'][14],6
iterable_item_removed,root['children'][4]['children'][1]['children'][15],6
iterable_item_removed,root['children'][4]['children'][1]['children'][16],6
iterable_item_removed,root['children'][4]['children'][1]['children'][17],6
iterable_item_removed,root['children'][4]['children'][1]['children'][18],6
iterable_item_removed,root['children'][4]['children'][1]['children'][19],6
iterable_item_removed,root['children'][4]['children'][1]['children'][20],6
iterable_item_removed,root['children'][4]['children'][1]['children'][21],6
iterable_item_removed,root['children'][4]['children'][1]['children'][22],6
iterable_item_removed,root['children'][4]['children'][1]['children'][23],6
iterable_item_removed,root['children'][4]['children'][1]['children'][24],6
iterable_item_removed,root['children'][4]['children'][1]['children'][25],6
iterable_item_removed,root['children'][4]['children'][1]['children'][26],6
iterable_item_removed,root['children'][4]['children'][1]['children'][27],6
iterable_item_removed,root['children'][4]['children'][2]['children'][19]['children'][0]['children'][0]['children'][0]['children'][2]['children'][2]['children'][0]['children'][0]['children'][0]['children'][4]['children'][5]['children'][0]['children'][0]['children'][0]['children'][1]['attrs']['class'][2],37
iterable_item_removed,root['children'][4]['children'][2]['children'][21]['children'][0],8
iterable_item_removed,root['children'][4]['children'][2]['children'][29],6
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
values_changed,root['children'][1]['text'],3
values_changed,root['text'],1
values_changed,root['children'][1]['children'][1],4
values_changed,root['children'][1]['children'][0],4
type_changes,root['children'][1]['children'][16],4
dictionary_item_removed,root['text'],1
dictionary_item_removed,root['children'][1]['text'],3
