key,model,total_changes,attr_changes,tag_changes,positional_changes,text_changes,unaccounted_changes
values_changed,claude-3-7-sonnet-20250219,0,0,0,0,0,0
iterable_item_added,claude-3-7-sonnet-20250219,0,0,0,0,0,0
iterable_item_removed,claude-3-7-sonnet-20250219,0,0,0,0,0,0
type_changes,claude-3-7-sonnet-20250219,0,0,0,0,0,0
dictionary_item_added,claude-3-7-sonnet-20250219,0,0,0,0,0,0
dictionary_item_removed,claude-3-7-sonnet-20250219,0,0,0,0,0,0
values_changed,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
iterable_item_added,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
iterable_item_removed,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
type_changes,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
dictionary_item_added,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
dictionary_item_removed,claude-3-7-sonnet-20250219-non-reasoning,0,0,0,0,0,0
values_changed,deepseek-r1,0,0,0,0,0,0
iterable_item_added,deepseek-r1,0,0,0,0,0,0
iterable_item_removed,deepseek-r1,0,0,0,0,0,0
type_changes,deepseek-r1,0,0,0,0,0,0
dictionary_item_added,deepseek-r1,0,0,0,0,0,0
dictionary_item_removed,deepseek-r1,0,0,0,0,0,0
values_changed,deepseek-v3-0324,0,0,0,0,0,0
iterable_item_added,deepseek-v3-0324,0,0,0,0,0,0
iterable_item_removed,deepseek-v3-0324,0,0,0,0,0,0
type_changes,deepseek-v3-0324,0,0,0,0,0,0
dictionary_item_added,deepseek-v3-0324,0,0,0,0,0,0
dictionary_item_removed,deepseek-v3-0324,0,0,0,0,0,0
values_changed,gpt-4.1,0,0,0,0,0,0
iterable_item_added,gpt-4.1,0,0,0,0,0,0
iterable_item_removed,gpt-4.1,0,0,0,0,0,0
type_changes,gpt-4.1,0,0,0,0,0,0
dictionary_item_added,gpt-4.1,0,0,0,0,0,0
dictionary_item_removed,gpt-4.1,0,0,0,0,0,0
values_changed,llama3.3-70b,0,0,0,0,0,0
iterable_item_added,llama3.3-70b,0,0,0,0,0,0
iterable_item_removed,llama3.3-70b,0,0,0,0,0,0
type_changes,llama3.3-70b,0,0,0,0,0,0
dictionary_item_added,llama3.3-70b,0,0,0,0,0,0
dictionary_item_removed,llama3.3-70b,0,0,0,0,0,0
values_changed,o4-mini,0,0,0,0,0,0
iterable_item_added,o4-mini,0,0,0,0,0,0
iterable_item_removed,o4-mini,0,0,0,0,0,0
type_changes,o4-mini,0,0,0,0,0,0
dictionary_item_added,o4-mini,0,0,0,0,0,0
dictionary_item_removed,o4-mini,0,0,0,0,0,0
values_changed,gpt-4o-mini,0,0,0,0,0,0
iterable_item_added,gpt-4o-mini,0,0,0,0,0,0
iterable_item_removed,gpt-4o-mini,0,0,0,0,0,0
type_changes,gpt-4o-mini,0,0,0,0,0,0
dictionary_item_added,gpt-4o-mini,0,0,0,0,0,0
dictionary_item_removed,gpt-4o-mini,0,0,0,0,0,0
values_changed,qwen2.5-32b-instruct,0,0,0,0,0,0
iterable_item_added,qwen2.5-32b-instruct,0,0,0,0,0,0
iterable_item_removed,qwen2.5-32b-instruct,0,0,0,0,0,0
type_changes,qwen2.5-32b-instruct,0,0,0,0,0,0
dictionary_item_added,qwen2.5-32b-instruct,0,0,0,0,0,0
dictionary_item_removed,qwen2.5-32b-instruct,0,0,0,0,0,0
